mjd,ra,dec,Redshift,gw,flarename
59018.0902448762,350.2187288631211,-0.6336898501795827,0.6020469664774389,False,0
58950.975000654566,159.04524354879686,-18.55404351441305,0.8695961193861506,False,1
58792.95782549163,136.3498181313312,86.77840279653596,1.0906389465552273,False,2
58760.65248698815,99.34094925653406,5.275787122912441,1.1789440126117774,False,3
58907.78017536958,347.79747932439903,-23.16234396569322,1.0954481779728595,False,4
58679.70034511453,20.952937895703837,-14.992736952988553,0.3539747255692289,False,5
58949.03618748624,147.14420359026775,23.062421863594373,1.338109634903606,False,6
59098.13226410543,60.70638403025497,-49.42074326317604,1.554318878828941,False,7
58713.78782327841,86.45186102460762,31.09391424800469,1.9592679158914956,False,8
59102.05479606795,280.80282828031625,50.13306620513584,1.2772254791154545,False,9
58945.9779827844,73.35633461602045,-2.8509371764779687,1.8712362119505697,False,10
58629.36216074929,198.7383437141838,-7.203312416962354,1.9083504800060456,False,11
58821.07063188728,132.1178911386003,-45.542523778231214,0.764765639813461,False,12
59067.47427621862,182.62141970124847,-8.888696956114496,0.4586814690124715,False,13
58962.722629701486,120.0376068106629,31.925990368448605,0.6892786563274311,False,14
58757.13849738141,101.77980267883623,-9.906067316846777,1.5576955563839368,False,15
58982.93557698975,101.45890846987452,13.8783919355131,0.8449775924030428,False,16
58698.20985112223,30.737265163663597,-65.84489498475183,0.5744671516166115,False,17
58621.43574946208,173.45291608104668,-34.09379072580876,1.89219553728138,False,18
58664.82736636471,318.0034420252396,-36.323420990761015,1.4661339819047468,False,19
58764.69026873944,341.0019957636076,74.22717076923684,1.921853507744267,False,20
58834.012295165376,9.858139893762768,-65.63005544056332,0.9500174120472664,False,21
58723.85992874156,330.3908080209204,-34.705818217607124,0.730115483142471,False,22
59028.292929362,43.748830614747455,-69.58677909022781,0.6252003937649114,False,23
58683.335774170366,269.2251935228912,16.204737287554664,1.893225345594021,False,24
58647.96608004191,322.74746713789017,17.838850463858353,0.6790051175260303,False,25
58627.01628232414,60.454727977376265,-17.996385533924748,1.65034252110283,False,26
58907.92384798475,119.32675893605212,-68.01638604234888,0.7645778010657769,False,27
59049.88620925254,136.13638522168893,-7.468385248051805,1.7512103145384066,False,28
58909.61583720058,124.86562476270876,-41.09752795664152,0.4313558023154315,False,29
59092.69341872712,185.85205240153056,-8.42713513237156,1.0279437230631625,False,30
58977.866747999535,3.237849853678933,-14.736820421637592,1.0585431222735662,False,31
59053.1055771105,152.16415361365804,-33.90567570573873,1.9547504546138288,False,32
59091.22457390116,315.95678262418204,43.10063688848557,1.810675677050551,False,33
58878.89562407834,31.465855026890388,22.65802583768636,1.0321675885045192,False,34
59095.84361838419,174.27053428489327,-3.365748497436964,1.090209707701297,False,35
58850.5234947096,173.2419818425909,-11.573765503667412,1.5144353110044648,False,36
58727.93422830283,281.7257365151515,-51.43672734438756,1.4026116031995004,False,37
58826.57849128999,347.2414470498207,11.892558926212743,1.804103834918497,False,38
58944.75963665714,254.55471898879557,0.4757837804430959,1.4729507640365702,False,39
58759.58683095753,98.54521952957866,54.1704607268591,1.2195446532434977,False,40
59076.88070531434,241.2407881691489,69.68859181300988,1.817434622714807,False,41
58718.68023880263,125.11252898936584,38.25705055585156,0.954099509165879,False,42
58764.53962071357,276.5260209797674,47.17156048846599,1.0088805204460087,False,43
58719.66622043259,243.277709850895,-0.4824675252185031,0.9838185308423268,False,44
58773.1946337526,351.9115300898134,-14.621684666539204,1.184501241718135,False,45
58579.00216899378,312.0155242540636,-2.408255494935132,0.3524994195262498,False,46
58924.56901339567,16.598885272540578,3.5824692162917864,1.1317385991756392,False,47
58732.70531752587,104.51653671154754,39.44918234434852,0.9312556784604236,False,48
58613.950722082605,310.46079516806884,-44.265745217592766,0.8161531293797591,False,49
58918.0434175603,216.30522025467556,11.602331954267305,0.823065254742971,False,50
58673.93268029572,123.93286505463271,54.28979371801963,1.6426396175527638,False,51
58744.90007420571,20.016927644020356,-33.71567157422935,1.033538883204714,False,52
58820.54259373795,274.6341611935553,-25.10468646269189,1.9622979696368208,False,53
58659.45571012009,0.546763586059722,43.1907335119615,1.0747013955612474,False,54
58696.98731398569,33.42367412608897,17.68212201109069,1.487975620505981,False,55
58839.07733333735,357.66149753003043,68.58023402628301,0.9130728174473112,False,56
58840.20546712453,279.3647078023279,16.509090741705602,1.69047531891821,False,57
58717.6595675611,312.5775106534492,63.98324109195829,0.7651866217816113,False,58
58741.11894689439,171.7769705712222,40.820905905016566,0.8682963339022064,False,59
58730.86793806072,60.78551055203698,20.446705451069985,0.8941315285672204,False,60
58720.62260442763,192.23183561225963,-38.31792381984705,0.6105083899582823,False,61
58843.74809256117,153.29947565755893,-34.95505087658097,1.5692719565225532,False,62
58693.690133894685,58.6906547778656,46.55705089522177,1.099711920132453,False,63
58850.87963189183,59.71592563225724,-19.399453517925824,0.6043262896769883,False,64
58712.6881463411,92.9340605972958,21.89282351180941,1.2497557344927936,False,65
59040.87591633477,339.51296515167667,-7.426171773665726,1.1828897916392234,False,66
58676.040869870296,355.2504990651437,-4.663436290892724,1.2054954981805892,False,67
59053.9949960698,253.31990934978563,-78.19510657917925,1.5113686208804795,False,68
58675.02611499901,260.3366688135429,40.13905573835509,0.4595884826221435,False,69
58992.13645617958,263.6992106071805,-22.15423155268596,1.1861010216475798,False,70
58914.87993138005,186.2623866652399,-19.009995441396224,0.4152211134608524,False,71
58692.12517382358,63.87347097193231,-58.95874107967183,1.952707652017169,False,72
58997.31295201252,315.95263449392496,14.43338120294336,1.429744207495944,False,73
58714.35021938485,316.94052806985206,33.864056170724574,0.6879503603364591,False,74
58623.639749917325,255.43243900424952,1.2653383107980252,1.8485602709013085,False,75
58918.7237897384,336.0343705765511,-2.555106060683064,0.7004613317140492,False,76
58873.78751826098,352.79933774379253,32.97098465491884,0.9872345680332378,False,77
58927.85086552051,181.2512815675609,-53.76060009386374,0.4013373000132289,False,78
58672.85083481093,272.72502250505795,4.694145746385275,1.0121828927613947,False,79
58713.74281142902,221.9826684380584,29.85239631706188,1.5389969426138757,False,80
58955.72325219698,41.36006455578877,-15.50869338568223,0.5959063451062827,False,81
58621.03513136176,113.755852844507,48.786609978552846,1.6104635279370396,False,82
59061.15330450177,24.38420311076312,-4.954789417183038,1.0945576359691511,False,83
58813.78598769447,319.27362412004163,-50.19316982567685,1.6510710602885454,False,84
58918.91080518743,7.945343594970886,72.51213695000152,0.6974606151380145,False,85
58749.73078706426,193.42321322558595,-5.059978533677145,1.8186747038912443,False,86
58675.39375322077,63.94035833666296,30.36974588949005,1.53224125172836,False,87
58581.601084282825,52.91816737127639,-57.51089375812166,0.4039590239146992,False,88
58692.61722911912,59.70401282334591,38.146977670250415,1.1674534137741934,False,89
59058.34207349986,315.7034324072043,-44.10690625484685,0.4580891260512178,False,90
58890.34482501332,138.96398942809975,23.598873251438164,0.0887873868112708,True,91
58813.82311194188,179.60470803778912,52.72545221626236,0.9636182631353962,True,92
58833.31087968681,270.5434159044387,22.36646024641713,0.5509437037532767,True,93
58743.12366882322,33.380672280214284,-52.16233061598019,0.5050839570405273,True,94
59044.24957180898,45.34098303769805,53.21017494566351,0.4193341569623187,True,95
58978.70873060134,38.04146344324173,-10.701307102561096,0.1342886427554587,True,96
58871.40417873527,150.36636095948742,36.50590668965441,0.7517432365168765,True,97
58952.93174860391,40.78778559182811,-10.4467689392179,0.0550854260121776,True,98
58880.89471967627,278.6938049188036,14.671308661360095,0.2310674018128253,True,99
58787.61965716144,210.75483172434255,40.22203449921401,0.0416759852703278,True,100
58986.25047775309,45.29943834808186,-25.433014586372813,0.523489672493699,True,101
58865.24938436109,348.84735622604086,-1.5358013010306344,0.5378388834223359,True,102
59030.21788940145,87.51411587950535,47.03790156293699,0.2369591867777772,True,103
58898.973162011374,230.21229774748429,-12.284800871398868,0.1583261526068355,True,104
58898.81617195107,137.32583162297107,-31.60320490193834,0.2993793879351429,True,105
58925.771362553554,278.7936461073288,19.67771510777509,0.2723918964668838,True,106
58924.007175988496,323.9280909357883,2.0279848465832417,0.0538390609583292,True,107
58677.532629164256,346.8352169340566,48.70755446612777,0.3102368220000682,True,108
58794.94606348311,49.405604912208624,-68.69663013053221,0.6173893203060974,True,109
58974.99671793659,104.48722975423397,36.54572105031368,0.2262573505228055,True,110
58850.80142463895,89.37430628447872,2.4407545997231503,0.6163263853771483,True,111
58703.594749712,218.6320995641869,35.268809285038245,0.1299943490887855,True,112
58889.12618024759,214.18805749089108,-58.28220073675199,0.3008761138781808,True,113
58934.394862351975,89.2091090383817,-41.10089438881423,0.1162762679583231,True,114
59037.890290736046,199.08991030125975,36.43250750925501,0.1856200409350681,True,115
59035.49072883615,55.92634836514809,30.098310129664974,0.0593993173134588,True,116
